ANYOMES,TIPO_ORIGEN,PAIS_ORIGEN,CIUDAD_DESTINO,PASAJEROS,VARIACION_INTERANUAL,AÑO,MES,fecha
202310,Internacional,Luxemburgo,Jerez de la Frontera,640,-28.88,2023,10,2023-10-01
202310,Internacional,Suiza,Jerez de la Frontera,702,-2.77,2023,10,2023-10-01
202310,Internacional,Alemania,Jerez de la Frontera,14671,-16.04,2023,10,2023-10-01
202310,Nacional,Total,Jerez de la Frontera,27841,3.26,2023,10,2023-10-01
202310,Internacional,Bélgica,Jerez de la Frontera,837,30.37,2023,10,2023-10-01
202310,Nacional,España,Jerez de la Frontera,27841,3.26,2023,10,2023-10-01
202311,Nacional,España,Jerez de la Frontera,18379,-15.52,2023,11,2023-11-01
202311,Nacional,Total,Jerez de la Frontera,18379,-15.52,2023,11,2023-11-01
202311,Internacional,Alemania,Jerez de la Frontera,3860,0.44,2023,11,2023-11-01
202311,Internacional,Bélgica,Jerez de la Frontera,97,25.97,2023,11,2023-11-01
202311,Internacional,Luxemburgo,Jerez de la Frontera,109,-27.81,2023,11,2023-11-01
202311,Internacional,Total,Jerez de la Frontera,4066,-10.16,2023,11,2023-11-01
202312,Nacional,España,Jerez de la Frontera,19059,-16.55,2023,12,2023-12-01
202312,Nacional,Total,Jerez de la Frontera,19059,-16.55,2023,12,2023-12-01
202312,Internacional,Alemania,Jerez de la Frontera,1705,46.98,2023,12,2023-12-01
202312,Internacional,Total,Jerez de la Frontera,1705,46.98,2023,12,2023-12-01
202401,Internacional,Total,Jerez de la Frontera,470,-31.58,2024,1,2024-01-01
202401,Internacional,Alemania,Jerez de la Frontera,470,-31.58,2024,1,2024-01-01
202401,Nacional,Total,Jerez de la Frontera,16407,-22.41,2024,1,2024-01-01
202401,Nacional,España,Jerez de la Frontera,16407,-22.41,2024,1,2024-01-01
202402,Nacional,España,Jerez de la Frontera,20181,1.6,2024,2,2024-02-01
202402,Nacional,Total,Jerez de la Frontera,20181,1.6,2024,2,2024-02-01
202402,Internacional,Alemania,Jerez de la Frontera,2136,88.52,2024,2,2024-02-01
202402,Internacional,Total,Jerez de la Frontera,2136,88.52,2024,2,2024-02-01
202403,Nacional,España,Jerez de la Frontera,23098,-2.54,2024,3,2024-03-01
202403,Nacional,Total,Jerez de la Frontera,23098,-2.54,2024,3,2024-03-01
202403,Internacional,Alemania,Jerez de la Frontera,7087,15.08,2024,3,2024-03-01
202403,Internacional,Reino Unido,Jerez de la Frontera,171,-66.13,2024,3,2024-03-01
202403,Internacional,Total,Jerez de la Frontera,7513,12.75,2024,3,2024-03-01
202403,Internacional,Luxemburgo,Jerez de la Frontera,123,,2024,3,2024-03-01
202403,Internacional,Bélgica,Jerez de la Frontera,132,,2024,3,2024-03-01
202404,Internacional,Total,Jerez de la Frontera,17185,18.21,2024,4,2024-04-01
202404,Internacional,Luxemburgo,Jerez de la Frontera,636,6.0,2024,4,2024-04-01
202404,Internacional,Bélgica,Jerez de la Frontera,610,-12.98,2024,4,2024-04-01
202404,Internacional,Reino Unido,Jerez de la Frontera,2048,-7.58,2024,4,2024-04-01
202404,Nacional,Total,Jerez de la Frontera,26415,-9.05,2024,4,2024-04-01
202404,Nacional,España,Jerez de la Frontera,26415,-9.05,2024,4,2024-04-01
202404,Internacional,Alemania,Jerez de la Frontera,13891,26.05,2024,4,2024-04-01
202405,Nacional,España,Jerez de la Frontera,28195,-3.79,2024,5,2024-05-01
202405,Nacional,Total,Jerez de la Frontera,28195,-3.79,2024,5,2024-05-01
202405,Internacional,Alemania,Jerez de la Frontera,18235,34.99,2024,5,2024-05-01
202405,Internacional,Bélgica,Jerez de la Frontera,668,-38.88,2024,5,2024-05-01
202405,Internacional,Luxemburgo,Jerez de la Frontera,640,15.94,2024,5,2024-05-01
202405,Internacional,Reino Unido,Jerez de la Frontera,3150,11.38,2024,5,2024-05-01
202405,Internacional,Total,Jerez de la Frontera,22693,26.2,2024,5,2024-05-01
202406,Internacional,Total,Jerez de la Frontera,25731,31.12,2024,6,2024-06-01
202406,Internacional,Suiza,Jerez de la Frontera,111,-11.9,2024,6,2024-06-01
202406,Internacional,Reino Unido,Jerez de la Frontera,3543,15.21,2024,6,2024-06-01
202406,Internacional,Luxemburgo,Jerez de la Frontera,701,35.85,2024,6,2024-06-01
202406,Nacional,España,Jerez de la Frontera,24537,-11.21,2024,6,2024-06-01
202406,Internacional,Alemania,Jerez de la Frontera,20564,40.13,2024,6,2024-06-01
202406,Nacional,Total,Jerez de la Frontera,24537,-11.21,2024,6,2024-06-01
202406,Internacional,Bélgica,Jerez de la Frontera,812,-34.09,2024,6,2024-06-01
202407,Internacional,Reino Unido,Jerez de la Frontera,2471,-16.26,2024,7,2024-07-01
202407,Internacional,Total,Jerez de la Frontera,23957,21.23,2024,7,2024-07-01
202407,Internacional,Suiza,Jerez de la Frontera,468,-60.3,2024,7,2024-07-01
202407,Internacional,Luxemburgo,Jerez de la Frontera,545,-6.03,2024,7,2024-07-01
202407,Nacional,España,Jerez de la Frontera,23388,-19.71,2024,7,2024-07-01
202407,Internacional,Alemania,Jerez de la Frontera,20071,39.94,2024,7,2024-07-01
202407,Nacional,Total,Jerez de la Frontera,23388,-19.71,2024,7,2024-07-01
202407,Internacional,Bélgica,Jerez de la Frontera,402,-43.3,2024,7,2024-07-01
202408,Nacional,España,Jerez de la Frontera,25047,-13.99,2024,8,2024-08-01
202408,Nacional,Total,Jerez de la Frontera,25047,-13.99,2024,8,2024-08-01
202408,Internacional,Alemania,Jerez de la Frontera,18991,37.94,2024,8,2024-08-01
202408,Internacional,Luxemburgo,Jerez de la Frontera,642,38.36,2024,8,2024-08-01
202408,Internacional,Reino Unido,Jerez de la Frontera,3593,14.42,2024,8,2024-08-01
202408,Internacional,Suiza,Jerez de la Frontera,493,-58.5,2024,8,2024-08-01
202408,Internacional,Total,Jerez de la Frontera,23719,24.47,2024,8,2024-08-01
202409,Internacional,Reino Unido,Jerez de la Frontera,2155,-23.22,2024,9,2024-09-01
202409,Internacional,Total,Jerez de la Frontera,23458,14.11,2024,9,2024-09-01
202409,Internacional,Suiza,Jerez de la Frontera,726,-27.61,2024,9,2024-09-01
202409,Internacional,Luxemburgo,Jerez de la Frontera,592,4.77,2024,9,2024-09-01
202409,Internacional,Alemania,Jerez de la Frontera,19419,26.08,2024,9,2024-09-01
202409,Internacional,Bélgica,Jerez de la Frontera,566,-13.05,2024,9,2024-09-01
202409,Nacional,Total,Jerez de la Frontera,29792,5.36,2024,9,2024-09-01
