categoria,nombre,localidad,url_ficha,slug
recursos-culturales,Iglesia Y Convento De Jesús Nazareno,Chiclana de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/iglesia-y-convento-de-jesus-nazareno,iglesia-y-convento-de-jesus-nazareno
recursos-culturales,La Cartuja De Jerez,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/la-cartuja-de-jerez,la-cartuja-de-jerez
recursos-culturales,La Torre Del Reloj,Chiclana de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/la-torre-del-reloj,la-torre-del-reloj
recursos-culturales,Museo Arqueológico De Jerez,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/museo-arqueologico-de-jerez,museo-arqueologico-de-jerez
recursos-culturales,Palacio De Los Duques De Medina Sidonia,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/palacio-de-los-duques-de-medina-sidonia,palacio-de-los-duques-de-medina-sidonia
recursos-culturales,Palacio De Orleans-Borbón,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/palacio-de-orleans-borbon,palacio-de-orleans-borbon
recursos-culturales,Palacio Del Tiempo “Museos De La Atalaya”,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/palacio-del-tiempo-museos-de-la-atalaya,palacio-del-tiempo-museos-de-la-atalaya
recursos-culturales,Parroquia Nuestra Señora De La O,Chipiona,https://rutadelvinojerez.es/empresas-y-servicios/parroquia-nuestra-senora-de-la-o,parroquia-nuestra-senora-de-la-o
recursos-culturales,Real Plaza De Toros,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/real-plaza-de-toros,real-plaza-de-toros
recursos-culturales,Santuario Nuestra Señora De Regla,Chipiona,https://rutadelvinojerez.es/empresas-y-servicios/santuario-nuestra-senora-de-regla,santuario-nuestra-senora-de-regla
recursos-culturales,Teatro Villamarta,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/teatro-villamarta,teatro-villamarta
recursos-naturales,Centro Recuperación La Mayetería,Rota,https://rutadelvinojerez.es/empresas-y-servicios/centro-recuperacion-la-mayeteria,centro-recuperacion-la-mayeteria
recursos-naturales,Dunas Y Pinares De San Antón,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/dunas-y-pinares-de-san-anton,dunas-y-pinares-de-san-anton
recursos-naturales,El Bucarito,Rota,https://rutadelvinojerez.es/empresas-y-servicios/el-bucarito,el-bucarito
recursos-naturales,El Cordón Dunar,Chipiona,https://rutadelvinojerez.es/empresas-y-servicios/el-cordon-dunar,el-cordon-dunar
recursos-naturales,El Pinar De La Villa,Chipiona,https://rutadelvinojerez.es/empresas-y-servicios/el-pinar-de-la-villa,el-pinar-de-la-villa
recursos-naturales,Laguna De Medina,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/laguna-de-medina,laguna-de-medina
recursos-naturales,Marismas De Bonanza,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/marismas-de-bonanza,marismas-de-bonanza
recursos-naturales,"Museo De La Miel Y Las Abejas, Rancho Cortesano",Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/museo-de-la-miel-y-las-abejas-rancho-cortesano,museo-de-la-miel-y-las-abejas-rancho-cortesano
recursos-naturales,Parque De Los Alcornocales,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/parque-de-los-alcornocales,parque-de-los-alcornocales
recursos-naturales,Parque Nacional De Doñana,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/parque-nacional-de-donana,parque-nacional-de-donana
recursos-naturales,Parque Natural Bahía De Cádiz,Chiclana de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/parque-natural-bahia-de-cadiz,parque-natural-bahia-de-cadiz
recursos-naturales,Parque Natural De Los Toruños Y Pinar De La...,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/parque-natural-de-los-torunos-y-pinar-de-la-algaida,parque-natural-de-los-torunos-y-pinar-de-la-algaida
recursos-naturales,Pinares De Chiclana,Chiclana de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/pinares-de-chiclana,pinares-de-chiclana
recursos-naturales,Playas De Chiclana,Chiclana de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/playas-de-chiclana,playas-de-chiclana
