resena_id,atributo,n_frases,s0,s1,s2,s3,s4,sentimiento,bodega,puntuacion
ChZDSUhNMG9nS0VJQ0FnSUM0MmNDaE5nEAE,Visita y experiencia,1,0.005306,0.006117,0.0911,0.4656,0.431877,4.313,Bodegas Real Tesoro & Valdespino,5.0
ChZDSUhNMG9nS0VJQ0FnSUM0NWNLVUlnEAE,Instalaciones,1,0.003917,0.003526,0.020447,0.197719,0.774391,4.735,Bodegas Real Tesoro & Valdespino,5.0
ChZDSUhNMG9nS0VJQ0FnSUM0NWNLVUlnEAE,Personal y trato,1,0.001436,0.001265,0.013014,0.232572,0.751713,4.732,Bodegas Real Tesoro & Valdespino,5.0
ChZDSUhNMG9nS0VJQ0FnSUM0NWNLVUlnEAE,Vino y cata,1,0.001436,0.001265,0.013014,0.232572,0.751713,4.732,Bodegas Real Tesoro & Valdespino,5.0
ChZDSUhNMG9nS0VJQ0FnSUM0NWNLVUlnEAE,Visita y experiencia,1,0.001436,0.001265,0.013014,0.232572,0.751713,4.732,Bodegas Real Tesoro & Valdespino,5.0
ChZDSUhNMG9nS0VJQ0FnSUM0OGZLeFNBEAE,Vino y cata,1,0.001302,0.001232,0.010234,0.20988,0.777351,4.761,Bodegas Real Tesoro & Valdespino,5.0
ChZDSUhNMG9nS0VJQ0FnSUM0OGZLeFNBEAE,Visita y experiencia,1,0.001302,0.001232,0.010234,0.20988,0.777351,4.761,Bodegas Real Tesoro & Valdespino,5.0
ChZDSUhNMG9nS0VJQ0FnSUM0Z0x5QUpnEAE,Instalaciones,3,0.041044,0.08914,0.350716,0.358263,0.160836,3.509,Bodegas Tradición,4.0
ChZDSUhNMG9nS0VJQ0FnSUM0Z0x5QUpnEAE,Organización y reserva,1,0.025574,0.025328,0.096775,0.340283,0.512041,4.288,Bodegas Tradición,4.0
ChZDSUhNMG9nS0VJQ0FnSUM0Z0x5QUpnEAE,Precio y valor,1,0.009876,0.037476,0.317872,0.483585,0.151191,3.729,Bodegas Tradición,4.0
